,food_class1
412,샤베트
413,아이스크림
414,요구르트(액상)
415,요구르트(호상)
416,우유
417,치즈
418,과ㆍ채주스
419,귤차
420,기타음료
421,기타차
422,꿀차
423,녹차
424,대추차
425,라떼
426,레몬차
427,레몬홍차
428,마테차
429,밀크티
430,밀크티/버블티
431,뱅쇼
432,복숭아홍차
433,사과차
434,생강차
435,스무디
436,식혜
437,쌍화차
438,아이스티
439,에이드
440,오미자차
441,우롱차
442,유자차
443,자몽차
444,자몽홍차
445,커피
446,코코아
447,콤부차
448,탄산음료
449,허브차
450,홍차
451,과일
452,견과
453,계란덮밥
454,곤드레나물밥
455,귀리밥
456,누룽지
457,묵밥
458,새우튀김롤
459,쌀밥
460,연어롤
461,연잎밥
462,오곡밥
463,잡탕밥
464,짜장밥
465,충무김밥
466,캘리포니아롤
467,개피떡(바람떡)
468,기피편
469,모싯잎송편
470,무지개떡
471,빙떡(메밀전병)
472,수수경단
473,수수부꾸미
474,수수팥떡
475,쑥떡
476,찰시루떡
477,다식
478,다쿠아즈
479,버터크림빵
480,매작과
481,산자
482,약과
483,유과
484,기스면
485,라멘
486,메밀소바
487,밀면
488,볶음면
489,분짜
490,비빔국수
491,비빔면
492,쌀국수
493,올갱이국수
494,울면
495,탄탄면
496,팟타이
497,게살죽
498,깨죽
499,미음
500,백합죽
501,소고기버섯죽
502,쌀죽(흰죽)
503,어죽
504,율무죽
505,잣죽
506,참깨죽
507,참치죽
508,현미죽
509,게국지
510,곰치국
511,낙지탕
512,매생이국
513,묵말이
514,미소된장국
515,소탕
516,아구탕
517,어탕
518,연포탕
519,오이냉국
520,올갱이국
521,전복탕
522,지리탕
523,초당순두부
524,홍합탕
525,황태해장국
526,무국물
527,고등어찌개
528,곱창전골
529,꽁치찌개
530,나베
531,두부전골
532,마라탕
533,만두전골
534,밀푀유나베
535,버섯찌개
536,불고기전골
537,불낙전골
538,해물탕
539,해신탕
540,훠궈
541,김치찜
542,꼬막무침
543,대구찜
544,동태찜
545,동파육
546,돼지고기
547,돼지등갈비찜
548,북어찜
549,붕어찜
550,수란
551,오징어순대
552,조기찜
553,해물찜
554,갈매기살구이
555,꿩불고기
556,대창구이
557,더덕구이
558,돼지껍데기구이
559,돼지불고기
560,막창구이
561,연어구이
562,오겹살구이
563,임연수구이
564,차돌박이구이
565,콘치즈구이
566,황태구이
567,훈제오리
568,고추전
569,굴전
570,깻잎전
571,꼬치구치
572,녹두빈대떡
573,동태전
574,두부전
575,미나리전
576,배추전
577,새우전
578,생선전
579,소고기산적
580,소라산적
581,오징어산적
582,해물파전
583,햄부침
584,호박전
585,홍합산적
586,화양적
587,감바스
588,고추잡채
589,느타리버섯볶음
590,닭모래집볶음
591,두부김치
592,머위나물볶음
593,순대볶음
